Film	Location	Lat	Lon
"'More strasti'" (2000)	Montenegro
	42.9868853	19.5180992
"100 Greatest Artists of Hard Rock" (2000)	Los Angeles, California, USA
	34.0536909	-118.242766
"100 Greatest Artists of Hard Rock" (2000)	New York, USA
	40.7127281	-74.0060152
"106 & Park Top 10 Live" (2000)	 New York City, New York, USA
	40.7127281	-74.0060152
"106 & Park Top 10 Live" (2000)	 New York City, New York, USA
	40.7127281	-74.0060152
"18 Wheels of Justice" (2000)	San Diego, California, USA
	32.7174202	-117.1627728
"2000 Jahre Christentum" (2000) {Neue Welten - Hinter dem europ�ischen Horizont (#1.9)}	Antigua, Guatemala
	14.5589875	-90.7333258
"2000 Jahre Christentum" (2000) {Neue Welten - Hinter dem europ�ischen Horizont (#1.9)}	Guatemala
	15.687100699999998	-90.12265453178017
"2000 Presidential Debates" (2000) {(#1.1)}	 Boston, Massachusetts, USA
	42.3602534	-71.0582912
"2000 Presidential Debates" (2000) {(#1.2)}	 Winston-Salem, North Carolina, USA
	36.0998131	-80.2440518
"2000 Presidential Debates" (2000) {(#1.3)}	 St. Louis, Missouri, USA
	38.6264256	-90.1995853
"2gether: The Series" (2000)	 Burnaby, British Columbia, Canada
	49.2433804	-122.9725459
"2gether: The Series" (2000)	Vancouver, British Columbia, Canada
	49.2608724	-123.113952
"2gether: The Series" (2000)	 Vancouver, British Columbia, Canada	49.2608724	-123.113952
"A Dinner of Herbs" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A Dinner of Herbs" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A Dinner of Herbs" (2000)	 Cumbria, England, UK
	54.6143136	-2.9420899468770427
"A Dinner of Herbs" (2000)	 Tyne & Wear, England, UK
	55.0105045	-1.4134705
"A History of Britain" (2000)	 Caen, Calvados, France
	49.1813403	-0.3635615
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Angus, Scotland, UK
	56.666667	-2.916667
"A History of Britain" (2000)	 Stirling, Scotland, UK
	56.1181242	-3.9360012
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 East Sussex, England, UK
	50.9404266	0.3699977891068864
"A History of Britain" (2000)	 Anglesey, Wales, UK
	53.2782273	-4.33133929345189
"A History of Britain" (2000)	 Gloucestershire, England, UK
	51.8333313	-2.1666674
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Norfolk, England, UK
	52.666667	1.0
"A History of Britain" (2000)	 Merseyside, England, UK
	53.4953602	-2.973937960086006
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Oxfordshire, England, UK
	51.833333	-1.25
"A History of Britain" (2000)	Boston, Massachusetts, USA
	42.3602534	-71.0582912
"A History of Britain" (2000)	 South Lanarkshire, Scotland, UK
	55.5831634	-3.8332212
"A History of Britain" (2000)	 Essex, England, UK
	51.77046785	0.46466977412300386
"A History of Britain" (2000)	 Oxfordshire, England, UK
	51.833333	-1.25
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Gwynedd, Wales, UK
	52.9089585	-3.8335244282124785
"A History of Britain" (2000)	 Caerphilly, Wales, UK
	51.6723809	-3.178393772876317
"A History of Britain" (2000)	Calcutta, West Bengal, India
	22.5726723	88.3638815
"A History of Britain" (2000)	 Cumbria, England, UK
	54.6143136	-2.9420899468770427
"A History of Britain" (2000)	 County Antrim, Northern Ireland, UK
	54.864725500000006	-6.143637910742768
"A History of Britain" (2000)	 Staffordshire, England, UK
	52.824694199999996	-2.0074546723348115
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	Chennai, Tamil Nadu, India
	13.0836939	80.270186
"A History of Britain" (2000)	 Staffordshire, England, UK
	52.824694199999996	-2.0074546723348115
"A History of Britain" (2000)	 Chinon, Indre-et-Loire, France
	47.1667182	0.2402095
"A History of Britain" (2000)	 Falaise, Calvados, France
	48.8964741	-0.1999129
"A History of Britain" (2000)	 Paris 1, Paris, France
	48.9011331	2.3899219
"A History of Britain" (2000)	 Conwy, Wales, UK
	53.1460931	-3.759920155777771
"A History of Britain" (2000)	 Dorset, England, UK
	50.79683685	-2.34473226124306
"A History of Britain" (2000)	County Galway, Ireland
	53.34350465	-8.873374084151076
"A History of Britain" (2000)	 Highland, Scotland, UK
	57.58488045	-4.917646755786513
"A History of Britain" (2000)	Delhi, India
	28.6517178	77.2219388
"A History of Britain" (2000)	 Denbighshire, Wales, UK
	53.1097895	-3.367128402684635
"A History of Britain" (2000)	 Cumbria, England, UK
	54.6143136	-2.9420899468770427
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	Drogheda, County Louth, Ireland
	53.7149877	-6.3524183
"A History of Britain" (2000)	 East Lothian, Scotland, UK
	55.915797	-2.7511952
"A History of Britain" (2000)	 Fife, Scotland, UK
	56.3333331	-3.0000001
"A History of Britain" (2000)	 Warwickshire, England, UK
	52.32130635	-1.5536905536661392
"A History of Britain" (2000)	 Edinburgh, Scotland, UK
	55.9533456	-3.1883749
"A History of Britain" (2000)	 Cambridgeshire, England, UK
	52.333333	0.083333
"A History of Britain" (2000)	 Berkshire, England, UK
	51.453488899999996	-1.0318729593399247
"A History of Britain" (2000)	 Worcestershire, England, UK
	52.2109495	-2.156955513242221
"A History of Britain" (2000)	 Derbyshire, England, UK
	53.1185033	-1.5566179305872214
"A History of Britain" (2000)	 West Sussex, England, UK
	50.94458445	-0.5278477012862655
"A History of Britain" (2000)	 Calcutta, West Bengal, India
	22.5726723	88.3638815
"A History of Britain" (2000)	 Northamptonshire, England, UK
	52.3106138	-0.8659129831915817
"A History of Britain" (2000)	 North Yorkshire, England, UK
	54.13453275	-1.498628491239545
"A History of Britain" (2000)	 Northamptonshire, England, UK
	52.3106138	-0.8659129831915817
"A History of Britain" (2000)	 Cambridgeshire, England, UK
	52.333333	0.083333
"A History of Britain" (2000)	 Somerset, England, UK
	51.161750850000004	-3.0753867062227487
"A History of Britain" (2000)	 Highland, Scotland, UK
	57.58488045	-4.917646755786513
"A History of Britain" (2000)	 Highland, Scotland, UK
	57.58488045	-4.917646755786513
"A History of Britain" (2000)	 Gloucestershire, England, UK
	51.8333313	-2.1666674
"A History of Britain" (2000)	 Cumbria, England, UK
	54.6143136	-2.9420899468770427
"A History of Britain" (2000)	 Worcestershire, England, UK
	52.2109495	-2.156955513242221
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	 Surrey, England, UK
	51.2715316	-0.3414523511290909
"A History of Britain" (2000)	 Gwynedd, Wales, UK
	52.9089585	-3.8335244282124785
"A History of Britain" (2000)	 Oxfordshire, England, UK
	51.833333	-1.25
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	 Northamptonshire, England, UK
	52.3106138	-0.8659129831915817
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Edinburgh, Scotland, UK
	55.9533456	-3.1883749
"A History of Britain" (2000)	 Norfolk, England, UK
	52.666667	1.0
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Buckinghamshire, England, UK
	51.840894	-0.8998073587480795
"A History of Britain" (2000)	Imperial Hotel, Delhi, India
	28.625283	77.2183628
"A History of Britain" (2000)	 Philadelphia, Pennsylvania, USA
	39.9527237	-75.1635262
"A History of Britain" (2000)	India
	22.3511148	78.6677428
"A History of Britain" (2000)	Jamestown, Virginia, USA
	37.2104434	-76.7738928
"A History of Britain" (2000)	 Tyne & Wear, England, UK
	55.0105045	-1.4134705
"A History of Britain" (2000)	 Powys, Wales, UK
	52.32714995	-3.3553352394722493
"A History of Britain" (2000)	 Argyll and Bute, Scotland, UK
	56.4603494	-5.8618419478791015
"A History of Britain" (2000)	 Warwickshire, England, UK
	52.32130635	-1.5536905536661392
"A History of Britain" (2000)	 Aberdeenshire, Scotland, UK
	57.166667	-2.666667
"A History of Britain" (2000)	 Dublin, County Dublin, Ireland
	53.3497645	-6.2602732
"A History of Britain" (2000)	 Dorset, England, UK
	50.79683685	-2.34473226124306
"A History of Britain" (2000)	 Hertfordshire, England, UK
	51.840052299999996	-0.09785519224523963
"A History of Britain" (2000)	 Lucknow, Uttar Pradesh, India
	26.8381	80.9346001
"A History of Britain" (2000)	 Lincolnshire, England, UK
	53.1823034	-0.2031208542548153
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Suffolk, England, UK
	52.241001350000005	1.0466830312565236
"A History of Britain" (2000)	Lucknow, Uttar Pradesh, India
	26.8381	80.9346001
"A History of Britain" (2000)	 Dorset, England, UK
	50.79683685	-2.34473226124306
"A History of Britain" (2000)	 Greater Manchester, England, UK
	53.50652485	-2.3374401422576687
"A History of Britain" (2000)	 Greater Manchester, England, UK
	53.50652485	-2.3374401422576687
"A History of Britain" (2000)	 Somerset, England, UK
	51.161750850000004	-3.0753867062227487
"A History of Britain" (2000)	 West Midlands, England, UK
	52.5050033	-1.964396123331272
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	Mysore, Karnataka, India
	12.3051828	76.6553609
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	 Boston, Massachusetts, USA
	42.3602534	-71.0582912
"A History of Britain" (2000)	 Wiltshire, England, UK
	51.324162	-1.9032486699002247
"A History of Britain" (2000)	 Boston, Massachusetts, USA
	42.3602534	-71.0582912
"A History of Britain" (2000)	 Isle of Wight, England, UK
	50.67108245	-1.3328042802764226
"A History of Britain" (2000)	 Oxfordshire, England, UK
	51.833333	-1.25
"A History of Britain" (2000)	Paris, France
	48.8588897	2.3200410217200766
"A History of Britain" (2000)	 Calcutta, West Bengal, India
	22.5726723	88.3638815
"A History of Britain" (2000)	 Cambridgeshire, England, UK
	52.333333	0.083333
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	Poitiers, Vienne, France
	46.5802596	0.340196
"A History of Britain" (2000)	Pondicherry, India
	11.9340568	79.8306447
"A History of Britain" (2000)	Pontigny, Yonne, France
	47.9102153	3.7113825
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	 Cheshire, England, UK
	53.2141028	-2.471770086071205
"A History of Britain" (2000)	 Orkney, Scotland, UK
	59.01329755	-3.2312402933283337
"A History of Britain" (2000)	River Boyne, Ireland
	53.5705559	-6.7281057
"A History of Britain" (2000)	 Suffolk, England, UK
	52.241001350000005	1.0466830312565236
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	 Somerset, England, UK
	51.161750850000004	-3.0753867062227487
"A History of Britain" (2000)	Rome, Lazio, Italy
	41.8933203	12.4829321
"A History of Britain" (2000)	Rouen, Seine-Maritime, France
	49.4404591	1.0939658
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Edinburgh, Scotland, UK
	55.9533456	-3.1883749
"A History of Britain" (2000)	Seine-Maritime, France
	49.66323745	0.9401133910609153
"A History of Britain" (2000)	Sens, Yonne, France
	48.1978559	3.282606
"A History of Britain" (2000)	 East Sussex, England, UK
	50.9404266	0.3699977891068864
"A History of Britain" (2000)	 Wiltshire, England, UK
	51.324162	-1.9032486699002247
"A History of Britain" (2000)	 Orkney, Scotland, UK
	59.01329755	-3.2312402933283337
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Suffolk, England, UK
	52.241001350000005	1.0466830312565236
"A History of Britain" (2000)	St. Nicholas Abbey, Barbados
	13.2770679	-59.5891003
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Stirling, Scotland, UK
	56.1181242	-3.9360012
"A History of Britain" (2000)	 Wiltshire, England, UK
	51.324162	-1.9032486699002247
"A History of Britain" (2000)	 Strokestown, County Roscommon, Ireland
	53.7766267	-8.1022177
"A History of Britain" (2000)	 Suffolk, England, UK
	52.241001350000005	1.0466830312565236
"A History of Britain" (2000)	 Agra, Uttar Pradesh, India
	27.1752554	78.0098161
"A History of Britain" (2000)	 Worcestershire, England, UK
	52.2109495	-2.156955513242221
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Essex, England, UK
	51.77046785	0.46466977412300386
"A History of Britain" (2000)	 Devon, England, UK
	50.724140500000004	-3.6607788161410735
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Trim, County Meath, Ireland
	53.5542857	-6.789775120801938
"A History of Britain" (2000)	 County Tyrone, Northern Ireland, UK
	54.63533405	-7.261148467859144
"A History of Britain" (2000)	 Kolkata, West Bengal, India
	22.5414185	88.35769124388872
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	 Norfolk, England, UK
	52.666667	1.0
"A History of Britain" (2000)	Waterloo, Belgium
	50.7153727	4.396367
"A History of Britain" (2000)	 West Sussex, England, UK
	50.94458445	-0.5278477012862655
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Greater Manchester, England, UK
	53.50652485	-2.3374401422576687
"A History of Britain" (2000)	 Derbyshire, England, UK
	53.1185033	-1.5566179305872214
"A History of Britain" (2000)	 Worcestershire, England, UK
	52.2109495	-2.156955513242221
"A History of Britain" (2000)	 North Yorkshire, England, UK
	54.13453275	-1.498628491239545
"A History of Britain" (2000)	 Yorktown, Virginia, USA
	37.235665499999996	-76.51364950821196
"A Makeover Story" (2000)	USA
	39.7837304	-100.445882
"A Many Splintered Thing" (2000)	 Essex, England, UK
	51.77046785	0.46466977412300386
"A Many Splintered Thing" (2000) {(#1.2)}	 London, England, UK	51.5073219	-0.1276474
"A Many Splintered Thing" (2000) {(#1.6)}	 Essex, England, UK	51.77046785	0.46466977412300386
"A Nero Wolfe Mystery" (2000)	New York City, New York, USA
	40.7127281	-74.0060152
"A Nero Wolfe Mystery" (2000)	 Oshawa, Ontario, Canada
	43.8975558	-78.8635324
"A Nero Wolfe Mystery" (2000)	Toronto, Ontario, Canada
	43.6534817	-79.3839347
"A Nero Wolfe Mystery" (2000) {Door to Death (#1.8)}	 Toronto, Ontario, Canada
	43.6534817	-79.3839347
"A Nero Wolfe Mystery" (2000) {Motherhunt: Part 2 (#2.7)}	 Toronto, Ontario, Canada
	43.6534817	-79.3839347
"A Nero Wolfe Mystery" (2000) {The Silent Speaker: Part 2 (#2.14)}	Canada	61.0666922	-107.991707
"A Outra Face da Lua" (2000)	Lisbon, Portugal
	38.7077507	-9.1365919
"A Place in the Sun" (2000)	Bacolet Beach, Tobago, Trinidad and Tobago
	11.173116749999998	-60.725277654011435
"A Place in the Sun" (2000)	Charlottesville, Virginia, USA
	38.029306	-78.4766781
"A Place in the Sun" (2000)	Cocoa Beach, Florida, USA
	28.3194741	-80.6102592
"A Place in the Sun" (2000)	Cocoa Village, Florida, USA
	28.3553183	-80.7260641
"A Place in the Sun" (2000)	Cocoa, Florida, USA
	28.3820058	-80.7796261877344
"A Place in the Sun" (2000)	 Orlando, Florida, USA
	28.5421109	-81.3790304
"A Place in the Sun" (2000)	France
	46.603354	1.8883335
"A Place in the Sun" (2000)	 Titusville, Florida, USA
	28.6122187	-80.8075538
"A Place in the Sun" (2000)	Kissimmee, Florida, USA
	28.2918995	-81.4075838
"A Place in the Sun" (2000)	Lake Mary, Florida, USA
	28.756618000000003	-81.33888382214167
"A Place in the Sun" (2000)	London, England, UK
	51.5073219	-0.1276474
"A Place in the Sun" (2000)	Long Beach, California, USA
	33.7690164	-118.191604
"A Place in the Sun" (2000)	Oklahoma, USA
	34.9550817	-97.2684063
"A Place in the Sun" (2000)	Orlando, Florida, USA
	28.5421109	-81.3790304
"A Place in the Sun" (2000)	 Los Angeles, California, USA
	34.0536909	-118.242766
"A Place in the Sun" (2000)	Tobago, Trinidad and Tobago
	11.24046155	-60.67200597857749
"A Place in the Sun" (2000)	Trinidad, Trinidad and Tobago
	10.443024300000001	-61.26130538878063
"A Raia dos Medos" (2000)	Campo Maior, Portugal
	39.0125063	-7.0692822
